CarCompany,AccidentArea,OwnerGender,OwnerAge,Fault,CarCategory,CarPrice,IsFraud,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,BasePolicy,IsAddressChanged,PastNumberOfClaims
Pontiac,Urban,Male,22,Policy Holder,Sedan,35301,1,Yes,Yes,External,2,Collision,No,1
Pontiac,Urban,Male,32,Policy Holder,Sedan,24936,1,No,No,External,1,All Perils,No,3
Accura,Urban,Male,51,Policy Holder,Sedan,24857,1,No,No,External,0,All Perils,No,2
Pontiac,Urban,Male,41,Policy Holder,Sedan,25640,1,No,No,External,0,All Perils,No,4
Pontiac,Urban,Male,22,Policy Holder,Sedan,10788,1,Yes,No,External,6,All Perils,No,4
Pontiac,Urban,Female,32,Policy Holder,Sedan,23263,1,No,No,External,1,All Perils,No,1
Pontiac,Urban,Male,24,Policy Holder,Sedan,25102,1,No,No,External,0,Collision,No,0
Mazda,Rural,Male,27,Policy Holder,Sedan,21729,1,Yes,No,External,0,Collision,No,0
Pontiac,Rural,Male,30,Policy Holder,Sedan,31124,1,No,No,External,0,Collision,No,2
Pontiac,Urban,Female,36,Policy Holder,Sedan,38518,1,No,No,Internal,2,Collision,No,3
Toyota,Urban,Male,21,Policy Holder,Sedan,28250,1,No,No,External,2,Collision,No,0
Mazda,Rural,Male,36,Policy Holder,Sedan,24019,1,No,No,External,0,Collision,No,0
Pontiac,Urban,Male,22,Policy Holder,Sedan,23496,1,No,No,External,7,All Perils,No,2
Mazda,Urban,Male,32,Policy Holder,Sedan,32833,1,No,No,External,7,Collision,No,4
Pontiac,Urban,Male,31,Policy Holder,Sedan,36413,1,No,No,External,7,Collision,No,5
Pontiac,Urban,Female,45,Policy Holder,Sedan,24255,1,No,No,External,2,All Perils,No,1
Pontiac,Rural,Male,28,Policy Holder,Sedan,31232,1,No,No,External,0,Collision,No,4
Pontiac,Urban,Male,36,Policy Holder,Sedan,21474,1,No,No,External,7,All Perils,No,4
Pontiac,Urban,Male,33,Policy Holder,Sedan,14888,1,No,No,External,0,All Perils,No,1
Honda,Urban,Female,41,Policy Holder,Sedan,28238,1,No,No,External,6,Collision,No,2
Toyota,Urban,Male,51,Policy Holder,Sedan,23965,1,No,No,External,0,Collision,No,2
Toyota,Urban,Male,54,Policy Holder,Sedan,25221,1,No,No,External,4,Collision,No,1
Accura,Urban,Male,43,Policy Holder,Sedan,47885,1,No,No,External,0,Collision,No,1
Chevrolet,Urban,Male,35,Policy Holder,Sedan,26902,1,No,No,External,0,Collision,No,1
Mazda,Urban,Male,23,Policy Holder,Sedan,14328,1,No,No,External,6,All Perils,No,1
Saab,Urban,Male,35,Policy Holder,Sedan,30820,1,No,No,External,0,All Perils,No,1
Pontiac,Urban,Male,35,Policy Holder,Sedan,25629,1,No,No,External,7,Collision,No,3
Pontiac,Urban,Male,29,Policy Holder,Sedan,21102,1,No,No,External,2,Collision,No,1
Toyota,Urban,Female,37,Policy Holder,Sedan,19822,1,Yes,No,External,0,Collision,No,1
Toyota,Urban,Female,27,Policy Holder,Sedan,18540,1,No,No,External,7,All Perils,No,1
Pontiac,Urban,Female,35,Policy Holder,Sedan,17282,1,No,No,External,6,All Perils,No,1
Honda,Urban,Female,34,Policy Holder,Sedan,24461,1,No,No,External,7,Collision,No,6
Toyota,Urban,Female,45,Policy Holder,Sedan,14498,1,No,No,External,1,All Perils,No,0
Pontiac,Urban,Male,39,Policy Holder,Sedan,15432,1,No,No,External,5,All Perils,No,1
Toyota,Urban,Male,29,Policy Holder,Sport,27228,1,No,No,External,0,Liability,No,0
Honda,Urban,Female,34,Policy Holder,Sedan,26586,1,No,No,External,7,Collision,No,5
Pontiac,Urban,Female,28,Policy Holder,Sport,36024,1,No,No,External,6,Liability,No,6
Honda,Rural,Female,31,Policy Holder,Sedan,11208,1,No,No,External,0,All Perils,No,1
Pontiac,Urban,Male,35,Policy Holder,Sedan,16607,1,No,No,External,0,All Perils,No,1
Pontiac,Urban,Female,28,Policy Holder,Sport,33130,1,No,No,External,7,Liability,No,5
Toyota,Urban,Male,44,Policy Holder,Sedan,28960,1,No,No,External,7,All Perils,No,1
Toyota,Urban,Female,25,Policy Holder,Sedan,28113,1,No,No,External,0,Collision,No,0
Pontiac,Urban,Male,28,Policy Holder,Sedan,31056,1,No,No,External,4,All Perils,No,0
Pontiac,Urban,Male,32,Policy Holder,Sedan,27833,1,No,No,External,1,All Perils,No,4
Honda,Urban,Male,42,Policy Holder,Sedan,38820,1,No,No,External,0,Collision,No,3
Toyota,Urban,Male,27,Policy Holder,Sedan,28882,1,No,No,External,1,Collision,No,0
Pontiac,Urban,Male,52,Policy Holder,Sedan,14689,1,No,No,External,7,All Perils,No,0
Mercury,Rural,Male,22,Policy Holder,Sport,25265,1,No,No,External,0,Liability,No,1
Mazda,Urban,Male,35,Policy Holder,Sedan,28485,1,No,No,External,2,Collision,No,2
Toyota,Urban,Male,56,Policy Holder,Sedan,23326,1,No,No,External,0,All Perils,No,0
Ford,Urban,Male,46,Policy Holder,Sport,48032,1,No,No,External,6,Liability,No,2
Mazda,Urban,Male,26,Policy Holder,Sedan,20817,1,No,No,External,2,Collision,No,4
Mazda,Urban,Female,51,Policy Holder,Sedan,12272,1,No,No,External,5,All Perils,No,4
Pontiac,Urban,Male,37,Policy Holder,Sedan,25434,1,No,No,External,0,Collision,No,6
Honda,Urban,Male,53,Policy Holder,Sedan,24149,1,No,No,External,1,All Perils,No,1
Honda,Urban,Male,30,Policy Holder,Sedan,11288,1,No,No,External,0,All Perils,No,0
Pontiac,Urban,Male,40,Policy Holder,Sedan,30553,1,No,No,External,0,Collision,No,4
Pontiac,Urban,Female,28,Policy Holder,Sport,34080,1,No,No,External,7,Liability,No,6
Pontiac,Rural,Male,29,Policy Holder,Sedan,24519,1,No,No,External,0,All Perils,No,1
Pontiac,Urban,Female,26,Policy Holder,Sedan,25173,1,No,No,External,0,All Perils,No,3
Toyota,Urban,Male,38,Policy Holder,Sport,37077,1,No,No,External,0,Liability,No,4
Honda,Urban,Male,36,Policy Holder,Sedan,33306,1,No,No,External,6,Collision,No,1
Toyota,Urban,Male,35,Policy Holder,Sedan,20557,1,No,No,External,6,All Perils,No,1
Pontiac,Urban,Male,25,Policy Holder,Sedan,28018,1,No,No,External,2,All Perils,No,0
Pontiac,Rural,Male,54,Policy Holder,Sedan,21102,1,No,No,External,6,Collision,No,5
Mazda,Urban,Male,29,Policy Holder,Sedan,26053,1,No,No,External,2,Collision,No,1
Pontiac,Urban,Male,58,Policy Holder,Sedan,23203,1,No,No,External,6,All Perils,No,4
Pontiac,Urban,Female,35,Policy Holder,Sedan,18704,1,No,No,External,7,All Perils,No,1
Mazda,Urban,Male,28,Policy Holder,Sedan,33837,1,No,No,External,0,All Perils,No,4
Toyota,Urban,Female,24,Policy Holder,Sedan,28512,1,No,No,External,0,Collision,No,1
Toyota,Urban,Male,31,Policy Holder,Sedan,11503,1,No,No,External,0,Collision,No,0
Toyota,Urban,Male,57,Policy Holder,Sedan,22080,1,No,No,External,0,Collision,No,0
Pontiac,Urban,Male,43,Policy Holder,Sedan,53913,1,No,No,External,7,Collision,No,2
Pontiac,Urban,Male,28,Policy Holder,Sedan,22060,1,No,No,External,6,All Perils,No,0
Honda,Rural,Male,45,Policy Holder,Sedan,12745,1,No,No,External,0,All Perils,No,0
Mazda,Urban,Male,54,Policy Holder,Sedan,36485,1,No,No,External,0,Collision,Yes,3
Honda,Rural,Male,35,Policy Holder,Sedan,24571,1,No,No,External,4,All Perils,No,0
Toyota,Urban,Male,38,Policy Holder,Sedan,23355,1,No,No,External,0,Collision,No,1
Mazda,Urban,Male,43,Policy Holder,Sedan,24671,1,No,No,External,0,All Perils,No,2
Chevrolet,Urban,Male,35,Policy Holder,Sedan,21831,1,No,No,External,0,All Perils,No,1
Mazda,Urban,Male,23,Policy Holder,Sedan,25675,1,No,No,External,4,All Perils,No,0
Honda,Urban,Male,43,Policy Holder,Sedan,28157,1,No,No,External,6,All Perils,No,1
Honda,Urban,Male,41,Policy Holder,Sedan,30289,1,No,No,External,0,Collision,No,3
Saab,Urban,Male,34,Policy Holder,Sedan,32845,1,No,No,External,6,All Perils,No,2
Toyota,Urban,Male,31,Policy Holder,Sedan,22900,1,No,No,External,7,All Perils,No,0
Honda,Urban,Male,30,Policy Holder,Sedan,27905,1,No,No,External,3,Collision,No,0
Mazda,Urban,Male,52,Policy Holder,Sedan,20666,1,No,No,External,0,All Perils,No,0
Toyota,Urban,Female,32,Policy Holder,Sedan,26276,1,No,No,External,7,All Perils,No,1
Toyota,Urban,Male,38,Policy Holder,Sport,37608,1,No,No,External,0,Liability,No,3
Pontiac,Rural,Male,59,Policy Holder,Sedan,16987,1,No,No,External,0,All Perils,No,1
Mazda,Urban,Female,44,Policy Holder,Sedan,28230,1,No,No,External,2,All Perils,No,0
Honda,Urban,Male,55,Policy Holder,Sedan,38057,1,No,No,External,1,Collision,No,1
Honda,Urban,Male,32,Policy Holder,Sedan,27912,1,No,No,External,0,Collision,No,1
Mazda,Urban,Male,35,Policy Holder,Sedan,23594,1,No,No,External,2,Collision,No,3
Pontiac,Urban,Male,29,Policy Holder,Sedan,31139,1,No,No,External,0,All Perils,No,4
Ford,Urban,Male,30,Policy Holder,Sedan,43214,1,No,No,External,7,Collision,No,2
Pontiac,Rural,Male,26,Policy Holder,Sedan,42628,1,No,No,External,0,All Perils,No,0
Honda,Urban,Male,72,Policy Holder,Sedan,12917,1,No,No,External,3,All Perils,No,2
Ford,Urban,Male,55,Policy Holder,Sedan,53850,1,No,No,External,0,All Perils,No,1
Toyota,Urban,Male,40,Policy Holder,Sedan,22302,1,No,No,External,2,All Perils,No,2
Honda,Rural,Female,31,Policy Holder,Sedan,18732,1,No,No,External,0,All Perils,No,1
Saab,Urban,Male,35,Policy Holder,Sedan,37226,1,No,No,External,0,All Perils,No,1
Toyota,Urban,Male,41,Policy Holder,Sedan,17971,1,No,No,External,5,All Perils,No,1
Toyota,Urban,Male,34,Policy Holder,Sedan,23933,1,No,No,External,0,All Perils,No,1
Pontiac,Urban,Male,61,Policy Holder,Sedan,15732,1,No,No,External,6,All Perils,No,1
Toyota,Urban,Male,48,Policy Holder,Sedan,25021,1,No,No,External,2,All Perils,No,0
Dodge,Urban,Male,33,Policy Holder,Sedan,35084,1,No,No,External,0,All Perils,No,2
Pontiac,Urban,Female,30,Policy Holder,Sedan,18041,1,No,No,External,7,All Perils,No,1
Saturn,Urban,Male,44,Policy Holder,Sedan,34575,1,No,No,External,0,Collision,No,3
Pontiac,Urban,Male,41,Policy Holder,Sedan,13653,1,No,No,External,1,Collision,No,2
Pontiac,Urban,Male,34,Policy Holder,Sedan,28710,1,No,No,External,1,Collision,No,2
Mazda,Urban,Male,27,Policy Holder,Sedan,22868,1,No,No,External,7,Collision,No,3
Pontiac,Urban,Male,38,Policy Holder,Utility,48476,1,No,No,External,0,All Perils,No,4
Honda,Urban,Male,28,Policy Holder,Sedan,36215,1,No,No,External,7,Collision,Yes,3
Accura,Rural,Male,35,Policy Holder,Sedan,37506,1,No,No,External,6,Collision,No,2
Chevrolet,Urban,Male,29,Policy Holder,Sedan,30871,1,No,No,External,6,All Perils,No,6
Honda,Urban,Male,38,Policy Holder,Sedan,21234,1,No,No,External,1,Collision,No,0
Chevrolet,Urban,Male,45,Policy Holder,Sedan,33735,1,No,No,External,6,Collision,No,4
Pontiac,Urban,Male,32,Policy Holder,Sedan,13574,1,No,No,External,0,Collision,No,0
Mazda,Urban,Male,35,Policy Holder,Sedan,22032,1,No,No,External,1,Collision,No,2
Pontiac,Rural,Male,31,Policy Holder,Sedan,26535,1,No,No,External,4,All Perils,No,0
Toyota,Rural,Female,41,Policy Holder,Sedan,16783,1,No,No,External,4,All Perils,No,3
Honda,Urban,Male,33,Policy Holder,Sedan,20061,1,No,No,External,1,Collision,No,0
Toyota,Urban,Female,24,Policy Holder,Sedan,28999,1,No,No,External,0,Collision,No,1
Mazda,Rural,Male,46,Policy Holder,Sedan,37346,1,No,No,External,0,Collision,No,0
Honda,Urban,Male,30,Policy Holder,Sedan,33283,1,No,No,External,6,Collision,No,2
Mazda,Urban,Male,29,Policy Holder,Sedan,24255,1,No,No,External,1,Collision,No,1
Pontiac,Urban,Male,26,Policy Holder,Sedan,13043,1,No,No,External,0,All Perils,No,0
Mazda,Urban,Male,32,Policy Holder,Sedan,27133,1,No,No,External,0,Collision,No,1
Toyota,Urban,Male,34,Policy Holder,Sedan,22450,1,No,No,External,0,All Perils,No,1
Ford,Rural,Male,30,Policy Holder,Sedan,53285,1,No,No,External,7,All Perils,No,6
Toyota,Urban,Male,34,Policy Holder,Sedan,24914,1,No,No,External,0,All Perils,No,1
Pontiac,Urban,Female,26,Policy Holder,Sedan,24132,1,No,No,External,0,All Perils,No,3
Mazda,Urban,Male,68,Policy Holder,Sedan,21476,1,No,No,External,0,All Perils,No,4
Honda,Urban,Male,39,Policy Holder,Sedan,21724,1,No,No,External,6,Collision,No,1
Pontiac,Urban,Male,54,Policy Holder,Sedan,12861,1,No,No,External,3,All Perils,No,4
Pontiac,Urban,Male,32,Policy Holder,Sedan,21433,1,No,No,External,2,All Perils,No,4
Toyota,Urban,Male,35,Policy Holder,Sedan,26257,1,No,No,External,0,Collision,No,3
Honda,Urban,Male,37,Policy Holder,Sedan,25376,1,No,No,External,0,All Perils,No,0
Mazda,Urban,Female,33,Policy Holder,Sport,24283,1,Yes,No,External,0,Liability,No,5
Toyota,Urban,Male,28,Policy Holder,Sedan,12441,1,No,No,External,0,All Perils,No,1
Ford,Rural,Male,32,Policy Holder,Sedan,27648,1,No,No,External,0,All Perils,No,0
Honda,Urban,Male,33,Policy Holder,Sedan,20644,1,No,No,External,1,All Perils,No,1
Toyota,Urban,Male,33,Policy Holder,Sedan,26518,1,No,No,External,5,All Perils,No,1
Honda,Rural,Male,28,Policy Holder,Sedan,28413,1,No,No,External,0,Collision,No,0
Mazda,Urban,Male,34,Policy Holder,Sedan,37345,1,No,No,External,0,All Perils,No,0
Pontiac,Urban,Male,34,Policy Holder,Sedan,24290,1,No,No,External,2,Collision,No,2
Pontiac,Urban,Male,27,Policy Holder,Sedan,26989,1,No,No,External,2,Collision,No,6
Toyota,Urban,Male,60,Policy Holder,Sedan,15568,1,No,No,External,6,All Perils,No,1
Chevrolet,Urban,Male,31,Policy Holder,Sedan,23201,1,No,No,External,0,Collision,No,0
Pontiac,Urban,Male,32,Policy Holder,Sedan,11501,1,No,No,External,6,Collision,No,5
Mazda,Rural,Male,36,Policy Holder,Sedan,22412,1,No,No,External,0,Collision,No,0
Honda,Urban,Male,42,Policy Holder,Sedan,37325,1,No,No,External,0,Collision,No,4
Toyota,Urban,Male,53,Policy Holder,Sport,22333,1,No,No,External,1,Liability,No,4
Pontiac,Urban,Male,43,Policy Holder,Sedan,14239,1,No,No,External,0,All Perils,No,1
Ford,Urban,Male,32,Policy Holder,Sedan,21341,1,No,No,External,7,Collision,No,1
Honda,Urban,Male,47,Policy Holder,Sedan,36952,1,No,No,External,0,Collision,No,3
Toyota,Urban,Male,48,Policy Holder,Sedan,28426,1,No,No,External,0,Collision,No,0
Toyota,Urban,Male,28,Policy Holder,Sedan,27690,1,No,No,External,6,All Perils,No,1
Ford,Urban,Male,30,Policy Holder,Sedan,45862,1,No,No,External,6,Collision,No,2
Saab,Urban,Male,50,Policy Holder,Sedan,32464,1,No,No,External,0,All Perils,No,0
Pontiac,Urban,Male,31,Policy Holder,Sedan,33361,1,No,No,External,2,Collision,No,4
Pontiac,Urban,Male,22,Policy Holder,Sedan,28200,1,No,No,External,1,All Perils,No,1
Pontiac,Urban,Male,28,Policy Holder,Sedan,25931,1,No,No,External,6,All Perils,No,0
Honda,Rural,Male,29,Policy Holder,Sedan,26158,1,No,No,External,6,All Perils,No,1
Pontiac,Urban,Male,43,Policy Holder,Sedan,46603,1,No,No,External,6,Collision,No,4
Chevrolet,Urban,Male,38,Policy Holder,Sedan,37184,1,No,No,External,1,Collision,No,3
Toyota,Rural,Male,27,Policy Holder,Sedan,20427,1,No,No,External,0,Collision,No,0
Honda,Urban,Male,41,Policy Holder,Sedan,30478,1,No,No,External,0,Collision,No,2
Mazda,Urban,Male,52,Policy Holder,Sedan,27856,1,Yes,No,External,4,All Perils,No,4
Chevrolet,Urban,Male,39,Policy Holder,Sedan,32431,1,No,No,External,7,Collision,No,3
VW,Urban,Female,40,Policy Holder,Sedan,26208,1,No,No,External,0,All Perils,Yes,0
Pontiac,Urban,Male,35,Policy Holder,Sedan,14609,1,No,No,External,1,All Perils,No,0
Chevrolet,Urban,Male,28,Policy Holder,Sedan,23452,1,No,No,External,0,All Perils,No,0
Toyota,Urban,Male,35,Policy Holder,Sedan,25562,1,No,No,External,0,Collision,No,2
Ford,Urban,Male,61,Policy Holder,Sedan,47460,1,No,No,External,3,Collision,No,4
Pontiac,Urban,Male,55,Policy Holder,Sedan,34217,1,No,No,External,7,Collision,No,2
Honda,Urban,Male,40,Policy Holder,Sedan,38840,1,No,No,External,0,Collision,No,2
Honda,Urban,Male,32,Policy Holder,Sedan,28257,1,No,No,External,0,Collision,No,3
Toyota,Urban,Male,40,Policy Holder,Sedan,21279,1,No,No,External,0,All Perils,No,0
Toyota,Urban,Male,34,Policy Holder,Sedan,28007,1,No,No,External,0,All Perils,No,1
Saab,Urban,Male,26,Policy Holder,Sedan,37067,1,No,No,External,1,Collision,Yes,0
Toyota,Urban,Female,24,Policy Holder,Sedan,21208,1,No,No,External,0,Collision,No,1
Mazda,Urban,Male,32,Policy Holder,Sedan,20097,1,No,No,External,0,Collision,No,1
Mazda,Urban,Male,32,Policy Holder,Sedan,25132,1,No,No,External,0,Collision,No,3
Mazda,Urban,Male,30,Policy Holder,Sedan,28212,1,No,No,External,0,Collision,No,3
Accura,Urban,Male,55,Policy Holder,Sedan,38872,1,No,No,External,7,All Perils,No,4
Pontiac,Urban,Male,66,Policy Holder,Sedan,23653,1,No,No,External,5,All Perils,No,1
Pontiac,Rural,Male,29,Policy Holder,Sedan,28562,1,No,No,External,0,All Perils,No,1
Mazda,Urban,Male,35,Policy Holder,Sedan,25709,1,No,No,External,2,Collision,No,3
Toyota,Urban,Male,31,Policy Holder,Sedan,19553,1,No,No,External,0,Collision,No,0
VW,Urban,Female,40,Policy Holder,Sedan,23864,1,No,No,External,0,All Perils,Yes,0
Pontiac,Urban,Male,41,Policy Holder,Sedan,20106,1,No,No,External,0,All Perils,No,4
Toyota,Rural,Female,28,Policy Holder,Sedan,20532,1,No,No,External,0,All Perils,No,3
Pontiac,Urban,Male,28,Policy Holder,Sedan,36795,1,No,No,External,4,All Perils,No,0
Chevrolet,Urban,Male,37,Policy Holder,Sport,20717,1,No,No,External,2,Liability,No,2
Honda,Urban,Female,41,Policy Holder,Sedan,20710,1,No,No,External,6,Collision,No,3
Chevrolet,Urban,Male,31,Policy Holder,Sedan,20411,1,No,No,External,0,All Perils,No,1
Pontiac,Urban,Male,25,Policy Holder,Sedan,26549,1,No,No,External,2,All Perils,No,0
Mazda,Rural,Male,33,Policy Holder,Sedan,22968,1,No,No,External,0,All Perils,No,1
Pontiac,Urban,Male,40,Policy Holder,Sedan,34135,1,No,No,External,0,Collision,No,3
Mazda,Rural,Male,30,Policy Holder,Sedan,22425,1,No,No,External,0,Collision,No,3
Toyota,Urban,Female,34,Policy Holder,Sedan,22838,1,No,No,External,6,Collision,No,0
Pontiac,Rural,Male,34,Policy Holder,Sedan,21907,1,No,No,External,1,Collision,No,3
Toyota,Urban,Male,43,Policy Holder,Sedan,24484,1,No,No,External,7,Collision,No,4
Toyota,Urban,Male,28,Policy Holder,Sedan,20557,1,No,No,External,6,All Perils,No,1
Mazda,Urban,Male,32,Policy Holder,Sedan,25523,1,No,No,External,0,Collision,No,1
Honda,Urban,Male,39,Policy Holder,Sedan,26434,1,No,No,External,2,Collision,No,1
Pontiac,Urban,Male,39,Policy Holder,Sedan,21687,1,No,No,External,1,All Perils,No,1
Honda,Urban,Male,28,Policy Holder,Sedan,35089,1,No,No,External,0,Collision,No,0
Pontiac,Rural,Male,31,Policy Holder,Sedan,25147,1,No,No,External,5,All Perils,No,0
Toyota,Urban,Male,72,Policy Holder,Sedan,28233,1,Yes,No,External,1,Collision,No,4
Chevrolet,Urban,Male,33,Policy Holder,Sedan,25111,1,No,No,External,0,Collision,No,0
Mazda,Urban,Female,49,Policy Holder,Sedan,20675,1,No,No,External,0,Collision,No,0
Toyota,Urban,Female,45,Policy Holder,Sedan,11317,1,No,No,External,2,All Perils,No,0
Toyota,Urban,Male,35,Policy Holder,Sedan,36719,1,No,No,External,0,Collision,No,2
Pontiac,Urban,Male,43,Policy Holder,Sedan,25133,1,No,No,External,0,Collision,No,0
VW,Rural,Male,61,Policy Holder,Sedan,23898,1,No,No,External,0,All Perils,No,0
Accura,Urban,Male,61,Policy Holder,Sedan,37938,1,No,No,External,0,All Perils,No,5
Pontiac,Urban,Male,39,Policy Holder,Sedan,24319,1,No,Yes,External,0,Collision,No,0
Pontiac,Urban,Male,41,Policy Holder,Sedan,12262,1,No,No,External,1,Collision,No,3
Toyota,Urban,Female,26,Policy Holder,Sedan,33309,1,No,No,External,6,Collision,No,3
Accura,Urban,Male,44,Policy Holder,Sedan,24623,1,No,No,External,1,All Perils,No,2
Mazda,Rural,Male,36,Policy Holder,Sedan,21122,1,No,No,External,0,Collision,No,0
Pontiac,Urban,Male,41,Policy Holder,Sedan,21387,1,No,No,External,0,All Perils,No,2
Pontiac,Urban,Male,34,Policy Holder,Sedan,37349,1,No,No,External,6,Collision,No,5
Toyota,Urban,Male,44,Policy Holder,Sedan,21614,1,No,No,External,6,All Perils,No,1
Pontiac,Urban,Male,22,Policy Holder,Sedan,18144,1,Yes,No,External,6,All Perils,No,4
Honda,Urban,Male,43,Policy Holder,Sedan,26774,1,No,No,External,7,All Perils,No,1
Pontiac,Urban,Male,38,Policy Holder,Sedan,24718,1,No,No,External,0,All Perils,No,0
Toyota,Urban,Male,27,Policy Holder,Sedan,26209,1,No,No,External,2,Collision,No,1
Pontiac,Rural,Male,59,Policy Holder,Sedan,11713,1,No,No,External,0,All Perils,No,1
Pontiac,Rural,Male,53,Policy Holder,Sedan,15898,1,No,No,External,0,All Perils,No,1
Pontiac,Urban,Male,27,Policy Holder,Sedan,26161,1,No,No,External,5,Collision,No,2
Toyota,Urban,Male,34,Policy Holder,Sedan,20750,1,No,No,External,0,All Perils,No,1
Toyota,Urban,Male,31,Policy Holder,Sedan,22598,1,No,No,External,7,All Perils,No,0
Pontiac,Urban,Male,32,Policy Holder,Sport,33578,1,No,No,External,0,Liability,No,0
Pontiac,Urban,Female,26,Policy Holder,Sedan,25743,1,No,No,External,0,All Perils,No,3
Pontiac,Urban,Male,36,Policy Holder,Sedan,26295,1,No,No,External,6,All Perils,No,2
Pontiac,Urban,Male,36,Policy Holder,Utility,43331,1,No,No,External,0,All Perils,No,5
Pontiac,Urban,Male,35,Policy Holder,Sedan,19112,1,No,No,External,0,All Perils,No,1
Pontiac,Urban,Male,32,Policy Holder,Sedan,14748,1,No,No,External,0,Collision,No,0
Honda,Urban,Male,39,Policy Holder,Sedan,25027,1,No,No,External,7,Collision,No,1
Toyota,Rural,Male,27,Policy Holder,Sedan,23452,1,No,No,External,0,All Perils,No,0
Pontiac,Urban,Male,30,Policy Holder,Sedan,27347,1,No,No,External,0,Collision,No,0
Mercury,Urban,Male,31,Policy Holder,Sedan,25208,1,No,No,External,6,All Perils,No,2
Mazda,Rural,Male,46,Policy Holder,Sedan,38501,1,No,No,External,0,Collision,No,0
Pontiac,Urban,Female,32,Policy Holder,Sedan,22154,1,No,No,External,6,Collision,No,4
Pontiac,Urban,Male,27,Policy Holder,Sedan,26139,1,No,No,External,5,Collision,No,2
Toyota,Urban,Male,37,Policy Holder,Sport,20346,1,No,No,External,1,Liability,No,4
Saab,Urban,Male,34,Policy Holder,Sedan,33542,1,No,No,External,7,All Perils,No,2
Pontiac,Urban,Female,26,Policy Holder,Sedan,21101,1,No,No,External,0,All Perils,No,0
Honda,Urban,Male,29,Policy Holder,Sedan,21213,1,No,No,External,7,All Perils,No,1
Pontiac,Urban,Male,54,Policy Holder,Sedan,13090,1,No,No,External,4,All Perils,No,3
Honda,Urban,Male,33,Policy Holder,Sedan,22611,1,No,No,External,1,All Perils,No,1
Toyota,Rural,Male,29,Policy Holder,Sedan,12488,1,No,No,External,0,All Perils,No,0
Chevrolet,Urban,Male,40,Policy Holder,Sedan,31314,1,No,Yes,External,2,All Perils,No,2
Pontiac,Urban,Male,40,Policy Holder,Sedan,26646,1,No,No,External,0,All Perils,No,0
Toyota,Urban,Male,37,Policy Holder,Sport,25200,1,No,No,External,2,Liability,No,2
Honda,Urban,Male,46,Policy Holder,Sedan,27846,1,No,No,External,1,Collision,No,1
Honda,Urban,Male,59,Policy Holder,Sedan,36191,1,No,No,External,6,Collision,No,4
Accura,Urban,Male,39,Policy Holder,Sedan,33524,1,No,No,External,0,Collision,No,2
Mercury,Urban,Male,31,Policy Holder,Sedan,22664,1,No,No,External,7,All Perils,No,3
Toyota,Urban,Male,35,Policy Holder,Sedan,26192,1,No,No,External,0,All Perils,No,0
