OwnerAge,CarPrice,NumberOfSuppliments,PastNumberOfClaims,AccidentArea_Rural,AccidentArea_Urban,OwnerGender_Female,OwnerGender_Male,Fault_Policy Holder,Fault_Third Party,CarCategory_Sedan,CarCategory_Sport,CarCategory_Utility,PoliceReportFiled_No,PoliceReportFiled_Yes,WitnessPresent_No,WitnessPresent_Yes,AgentType_External,AgentType_Internal,BasePolicy_All Perils,BasePolicy_Collision,BasePolicy_Liability,IsAddressChanged_No,IsAddressChanged_Yes
46,27435,0,4,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
32,27039,0,4,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
35,24826,3,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
33,38075,0,4,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
50,33302,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
48,22101,3,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
50,22641,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1
32,37787,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
28,22556,0,4,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
31,21410,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
26,25273,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
28,32195,0,5,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
29,22937,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
31,23166,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
35,20652,4,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
35,26126,7,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
39,32877,2,3,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
55,37601,6,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
37,26471,2,3,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
54,26855,7,6,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
35,36313,0,3,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
34,25621,1,5,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
44,25706,6,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
41,20777,0,4,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
46,35296,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
59,24565,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
34,25033,7,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
51,27570,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
30,26951,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
43,23214,6,6,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
46,26245,0,5,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
45,43658,0,3,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
32,23742,2,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
32,24349,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
21,37898,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
29,35451,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
35,26249,0,3,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
30,21672,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
26,45262,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0
28,25785,4,4,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
31,22957,4,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
49,26922,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
28,36180,7,6,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
54,36992,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
29,28061,4,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
45,31379,7,4,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
42,11419,2,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
55,21614,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
43,28075,6,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
47,34728,0,3,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
54,11040,7,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
37,22542,1,5,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
37,36626,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
47,28084,0,5,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
28,28121,0,3,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
27,31754,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
44,34660,5,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
35,21919,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
64,20236,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
30,27907,0,4,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
31,31659,1,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
24,25854,1,6,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
31,37225,7,6,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
46,27862,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
44,36235,6,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
43,28273,0,4,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
64,22859,0,5,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
31,33361,2,4,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
26,23573,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
45,24487,0,2,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
44,27767,0,6,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
48,25709,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
51,24145,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
39,20632,0,2,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
38,33632,0,3,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
35,28459,6,4,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
51,25808,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
36,28571,6,6,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
33,38221,1,5,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
23,26326,6,2,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0
27,26160,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
28,37037,0,6,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
32,20313,7,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
38,34251,0,4,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
38,22776,5,4,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
45,27173,4,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
60,36953,7,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
34,21342,0,4,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
38,28595,7,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
48,35805,0,4,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
48,44961,7,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
45,31392,0,6,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
32,25835,2,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
62,21971,6,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
30,10499,6,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
53,36064,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
34,25364,6,5,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
31,16526,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
54,38090,7,5,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
21,26127,1,2,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
40,19182,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
55,21647,0,4,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
30,30255,0,3,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
55,22569,7,3,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0
39,28395,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
30,34745,6,3,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
58,20631,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
33,22780,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
44,25381,7,3,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
30,34493,6,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
28,26205,0,2,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
31,22006,5,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
38,25959,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
29,24944,4,2,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
48,38636,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
36,37122,0,3,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
31,20411,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
50,28810,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1
37,28461,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
36,19849,6,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
39,21525,3,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
66,22082,5,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
26,24661,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
22,24194,7,4,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
62,22321,6,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
54,24602,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
48,28503,3,6,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
34,24470,2,3,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
24,22212,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
49,26942,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
35,13826,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
50,38015,0,2,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
60,22403,5,4,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
28,35129,7,6,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
30,35269,7,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
21,26197,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
28,30112,2,4,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
52,34202,6,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
26,26268,0,6,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
27,24251,4,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
29,24777,6,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
37,25461,0,6,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
39,38638,7,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
60,20402,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
35,23443,6,4,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
26,31356,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
38,31667,7,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
33,27669,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
37,10505,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
22,20217,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
65,32786,1,3,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
34,10933,6,2,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
33,32491,0,3,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
32,23495,6,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
34,20525,4,5,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
35,28575,7,4,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
35,25676,1,4,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
53,48850,5,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
34,33309,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
46,28822,6,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
31,25472,0,6,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
35,56100,0,5,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0
40,22790,6,5,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
44,34734,6,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
37,26252,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
37,26355,1,2,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
36,34251,1,2,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
56,32356,4,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
26,26899,5,4,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
39,32867,6,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
26,13102,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
28,35137,4,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
33,24001,1,3,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
28,25944,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
64,30716,0,6,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
28,27892,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
35,33790,7,6,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
29,12085,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
49,23834,6,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
52,11322,7,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
29,25560,0,5,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
58,22421,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
32,11289,6,5,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
41,21605,0,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
22,26529,6,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
31,25293,0,5,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
48,21732,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
43,20077,7,3,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
39,34133,7,4,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
44,31974,6,6,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
45,22647,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
29,26014,5,3,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
38,24060,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
38,12838,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
24,23800,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
35,14509,7,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
38,20371,7,4,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
27,22891,0,2,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
27,37584,7,2,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
26,24400,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
32,30745,0,2,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
26,47172,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
50,38765,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
28,32809,7,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
26,28728,6,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
26,24861,0,4,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
40,24121,2,4,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
32,35346,7,6,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
30,31561,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
38,23959,2,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
39,33159,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
30,22942,7,6,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
26,37001,7,5,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
